City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,surt,LY,31.21,16.59,70.72,62,32,10.16,scattered clouds
310,general roca,AR,-39.03,-67.58,89.6,21,0,8.05,clear sky
311,kijang,KR,35.24,129.21,55.4,87,75,2.24,light rain
312,ibra,OM,22.69,58.53,60.39,33,0,4.32,clear sky
313,talnakh,RU,69.49,88.4,21.2,92,100,13.42,light snow
314,manitouwadge,CA,49.12,-85.84,26.6,62,75,20.8,broken clouds
315,idah,NG,7.11,6.73,77.29,79,99,3.78,overcast clouds
316,nishihara,JP,26.18,127.76,71.6,83,20,5.41,few clouds
317,tucuma,BR,-0.18,-50.05,82.11,74,49,10.29,heavy intensity rain
318,deputatskiy,RU,69.3,139.9,-15.47,88,83,6.38,broken clouds
319,ghatampur,IN,26.17,80.17,67.06,24,0,5.7,clear sky
320,kyra,RU,49.58,111.98,12.87,83,8,5.93,clear sky
321,norman wells,CA,65.28,-126.83,8.6,65,20,10.29,few clouds
322,tabou,CI,4.42,-7.35,77.97,87,33,6.22,scattered clouds
323,esna,EG,25.29,32.55,75.2,73,0,4.7,clear sky
324,sassandra,CI,4.95,-6.08,77.32,90,49,4.81,scattered clouds
325,la cruz,MX,23.92,-106.9,89.01,54,0,8.99,clear sky
326,shache,CN,38.42,77.24,34.79,82,0,3.58,clear sky
327,marzuq,YE,14.4,46.47,61.54,31,0,1.79,clear sky
328,olinda,BR,-8.01,-34.86,80.6,74,40,10.29,scattered clouds
329,port hedland,AU,-20.32,118.57,75.2,78,90,8.05,overcast clouds
330,grand gaube,MU,-20.01,57.66,66.99,69,55,1.01,broken clouds
331,nichinan,JP,31.6,131.37,64.4,100,75,5.82,broken clouds
332,bardiyah,LY,31.76,25.09,68.13,61,8,5.23,clear sky
333,forestville,US,38.85,-76.88,57.99,87,75,5.82,broken clouds
334,westport,US,41.14,-73.36,55.4,87,90,12.75,moderate rain
335,erenhot,CN,43.65,111.98,22.23,72,2,10.0,clear sky
336,lima,PE,-12.04,-77.03,66.2,72,90,10.29,overcast clouds
337,college,US,64.86,-147.8,3.99,76,75,1.57,mist
338,port hardy,CA,50.7,-127.42,53.6,71,75,8.05,broken clouds
339,taoudenni,ML,22.68,-3.98,81.84,16,100,14.16,overcast clouds
340,el paso,US,31.8,-106.2,71.6,26,40,10.29,scattered clouds
341,salalah,OM,17.02,54.09,75.2,64,0,4.7,clear sky
342,truro,GB,50.27,-5.05,60.8,93,100,28.86,overcast clouds
343,brindisi,IT,40.58,17.67,60.01,93,20,5.82,few clouds
344,faanui,PF,-16.48,-151.75,80.44,78,17,21.9,few clouds
345,san carlos de bariloche,AR,-41.15,-71.31,80.6,35,20,13.87,few clouds
346,saquarema,BR,-22.92,-42.51,71.6,77,75,11.41,broken clouds
347,alofi,NU,-19.06,-169.92,78.8,88,75,16.11,broken clouds
348,los llanos de aridane,ES,28.66,-17.92,77.0,25,0,9.17,clear sky
349,ducheng,CN,23.24,111.53,69.84,80,61,3.15,broken clouds
350,kornwestheim,DE,48.86,9.19,60.8,77,20,8.05,few clouds
351,russell,US,32.35,-85.2,73.4,46,1,9.17,clear sky
352,monte alegre,BR,-2.01,-54.07,88.65,38,89,4.16,overcast clouds
353,zlobin,HR,45.29,14.65,57.99,93,20,4.7,few clouds
354,batagay-alyta,RU,67.8,130.41,-10.68,85,46,1.57,scattered clouds
355,bumba,CD,2.18,22.47,70.83,94,93,1.52,light rain
356,alexandria,EG,31.22,29.96,71.6,60,20,9.17,few clouds
357,strezhevoy,RU,60.73,77.59,32.0,97,90,8.95,overcast clouds
358,walvis bay,NA,-22.96,14.51,55.4,87,6,6.93,clear sky
359,kostomuksha,RU,64.57,30.58,36.48,91,99,9.95,overcast clouds
360,moses lake,US,47.13,-119.28,60.8,36,1,5.82,clear sky
361,vestmannaeyjar,IS,63.44,-20.27,38.98,73,0,19.33,clear sky
362,kathu,TH,7.92,98.33,75.2,100,20,6.15,few clouds
363,yelovo,RU,57.05,54.92,28.8,96,0,2.17,clear sky
364,yar-sale,RU,66.83,70.83,28.8,97,96,15.3,overcast clouds
365,kasempa,ZM,-13.46,25.83,70.45,44,0,8.03,clear sky
366,san pedro,PH,14.35,121.02,77.0,94,75,4.7,light rain
367,wattegama,LK,6.8,81.48,77.0,100,40,1.12,light rain
368,antofagasta,CL,-23.65,-70.4,62.6,67,40,18.34,scattered clouds
369,san cristobal,VE,7.77,-72.22,84.2,70,40,9.17,scattered clouds
370,san juan,AR,-31.54,-68.54,86.05,14,0,13.2,clear sky
371,villarrobledo,ES,39.27,-2.6,59.0,69,68,1.01,broken clouds
